"","gemeente_id","gemeente_district_and_neighborhood","gemeente_municipality","gemeente_type_region","gemeente_code","gemeente_change_in_layout","gemeente_number_of_inhabitants","gemeente_n_Sixty_Five_Years_Or_Older","gemeente_WesternTotal","gemeente_Non_Western_Total","gemeente_Morocco","gemeente_Turkey","gemeente_Population_Density","gemeente_Average_Home_Value","gemeente_Average_Income_Per_Income_Recipient","gemeente_Average_Income_Per_Inhabitant","gemeente_40_Lowest_Income_People","gemeente_20_Persons_With_Highest_Income","gemeente_40_Lowest_Income_Households","gemeente_20_House_holds_With_Highest_Income","gemeente_low_income_households","gemeente_House_hold_Under_Or_Around_Social_Minimum","gemeente_code_four_digits"
"2",1,"GM1680","Aa en Hunze","Gemeente","GM1680",".",25286,6306,1056,528,12,10,"92","223","31.7","26","39.6","19.8","31.8","22.8","5","4.7","1680"
"78",77,"GM0738","Aalburg","Gemeente","GM0738",".",13067,2190,497,262,13,12,"259","245","31.4","23.8","40.7","20.2","29.7","26.3","4.5","4.1","0738"
"101",100,"GM0358","Aalsmeer","Gemeente","GM0358",".",31373,5713,3491,2365,436,114,"1559","294","36.8","29","35","24.9","29.2","31.1","3.9","3.8","0358"
"114",113,"GM0197","Aalten","Gemeente","GM0197",".",27047,5725,2182,971,13,335,"280",".","27.6","22.4","41.9","13.7","34.4","17.1","4.6","4.4","0197"
"148",147,"GM0059","Achtkarspelen","Gemeente","GM0059",".",27893,5202,622,532,12,6,"273","164","25.8","19.9","46","11.6","40.3","13.5","7.2","6.6","0059"
"176",175,"GM0482","Alblasserdam","Gemeente","GM0482",".",20008,3868,1347,1441,169,556,"2276","198","31.2","23.7","40.8","20.2","35.6","22.2","5.8","5.3","0482"
"212",211,"GM0613","Albrandswaard","Gemeente","GM0613",".",25105,4122,1920,3038,252,463,"1155","254","40.2","31","31.9","31.4","25.8","34.1","4.1","3.9","0613"
"246",245,"GM0361","Alkmaar","Gemeente","GM0361",".",108373,19690,10256,13675,1972,2669,"981","189","31.5","25.6","37.2","19.9","39.4","18.6","7.8","6.9","0361"
"324",323,"GM0141","Almelo","Gemeente","GM0141",".",72479,13668,7246,11014,544,5826,"1077","153","27","21.5","46.2","13.6","45.2","13.8","10.7","9.6","0141"
"405",404,"GM0034","Almere","Gemeente","GM0034",".",200914,20843,20838,61132,7871,3572,"1555","187","32.1","24.7","37.1","21.3","34.5","21.4","8.3","7.2","0034"
