"","wijk_id","wijk_district_and_neighborhood","wijk_municipality","wijk_type_region","wijk_code","wijk_change_in_layout","wijk_number_of_inhabitants","wijk_n_Sixty_Five_Years_Or_Older","wijk_WesternTotal","wijk_Non_Western_Total","wijk_Morocco","wijk_Turkey","wijk_Population_Density","wijk_Average_Home_Value","wijk_Average_Income_Per_Income_Recipient","wijk_Average_Income_Per_Inhabitant","wijk_40_Lowest_Income_People","wijk_20_Persons_With_Highest_Income","wijk_40_Lowest_Income_Households","wijk_20_House_holds_With_Highest_Income","wijk_low_income_households","wijk_House_hold_Under_Or_Around_Social_Minimum","wijk_code_six_digits"
"3",2,"WK168000","Aa en Hunze","Wijk","WK168000","1",3545,855,120,70,0,0,"242","226","33.9","27.4","36.1","22.7","29.5","26","2.8","3.8","168000"
"6",5,"WK168001","Aa en Hunze","Wijk","WK168001","1",1420,285,50,30,5,5,"80","231","31","25.4","38.7","19","31.6","21.3","6.1","5.3","168001"
"9",8,"WK168002","Aa en Hunze","Wijk","WK168002","1",465,125,25,15,5,0,"57","279","29.8","25.2","47.7","17.3","38.6","19.5","11.7","10.7","168002"
"12",11,"WK168003","Aa en Hunze","Wijk","WK168003","1",410,110,35,0,0,0,"45","299","33.1","29","37.5","23.8","15.3","32.4","3","2.4","168003"
"15",14,"WK168004","Aa en Hunze","Wijk","WK168004","1",270,50,10,5,0,0,"24","302","38.7","31.7","38.1","21.4","19.6","37.4","3.7","3.7","168004"
"18",17,"WK168005","Aa en Hunze","Wijk","WK168005","1",590,185,40,20,0,0,"101","345","39.6","32.7","34","28","24.5","33.6","3.3","2.9","168005"
"21",20,"WK168006","Aa en Hunze","Wijk","WK168006","1",440,65,5,10,0,0,"68","227","35.3","27.6","33.5","28.6","18.9","32.6","1.7","2.3","168006"
"24",23,"WK168007","Aa en Hunze","Wijk","WK168007","1",145,20,5,5,0,0,"391","206","29.8","25.8","38.4","20",".",".",".",".","168007"
"27",26,"WK168008","Aa en Hunze","Wijk","WK168008","1",105,15,0,5,0,0,"29",".",".","24.8",".",".",".",".",".",".","168008"
"30",29,"WK168009","Aa en Hunze","Wijk","WK168009","1",130,20,5,0,0,0,"65",".","35.7","29.3","31.4","29.5",".",".",".",".","168009"
"33",32,"WK168011","Aa en Hunze","Wijk","WK168011","1",420,55,20,20,0,5,"130","173","31.5","25.3","31.6","20.3","30.6","24.3","5.3","3.6","168011"
"36",35,"WK168012","Aa en Hunze","Wijk","WK168012","1",270,35,25,5,0,0,"98","158","28.9","23.3","39.9","17.2","34.7","9.1","5.1","4.2","168012"
"39",38,"WK168013","Aa en Hunze","Wijk","WK168013","1",140,30,10,5,0,0,"21","265","36.5","30","36","27.2",".",".",".",".","168013"
"42",41,"WK168014","Aa en Hunze","Wijk","WK168014","1",1860,580,100,35,0,0,"96","218","29.5","24.7","42.9","17.4","37.7","19.9","5.7","5.3","168014"
"46",45,"WK168015","Aa en Hunze","Wijk","WK168015","1",1870,355,95,55,0,0,"317","158","25.6","20.1","47.5","12.7","41.2","12.4","11.6","9.4","168015"
"50",49,"WK168016","Aa en Hunze","Wijk","WK168016","1",665,125,35,5,0,0,"57","181","29.3","24.6","41.5","17.9","31.4","20.6","4.6","3.9","168016"
"54",53,"WK168017","Aa en Hunze","Wijk","WK168017","1",5070,1375,195,120,5,0,"206","211","31.4","25.7","40.6","19.4","35.2","21.3","4.5","4.6","168017"
"57",56,"WK168018","Aa en Hunze","Wijk","WK168018","1",1215,230,40,25,0,0,"72","196","29.7","23.9","39.1","17.2","32.2","20.7","5.7","5.1","168018"
"62",61,"WK168019","Aa en Hunze","Wijk","WK168019","1",4635,1410,180,95,5,5,"132","234","32.5","27.5","39.1","20.1","29.3","23.3","3.6","2.9","168019"
"69",68,"WK168020","Aa en Hunze","Wijk","WK168020","1",1170,220,45,10,0,0,"23","268","32.7","27","38.7","20.7","30.9","25.7","7.9","7.5","168020"
"74",73,"WK168021","Aa en Hunze","Wijk","WK168021","1",495,110,25,10,0,0,"25","304","33.2","27.4","39.7","22.4","17.8","34.6","3.7","2.1","168021"
"79",78,"WK073800","Aalburg","Wijk","WK073800","1",6255,1075,245,150,10,5,"505","244","31.3","23.5","41.2","20.4","30.7","26.8","4.2","4.1","073800"
"83",82,"WK073801","Aalburg","Wijk","WK073801","1",2730,375,110,60,0,5,"590","239","31.2","23.3","43.4","19.9","32.5","23.6","6.5","5.4","073801"
"86",85,"WK073802","Aalburg","Wijk","WK073802","1",1720,315,55,5,0,0,"266","242","31.6","24.8","40.5","18.7","28.2","28.4","3.8","4.6","073802"
"89",88,"WK073803","Aalburg","Wijk","WK073803","1",805,140,25,20,0,0,"105","237","32.2","24.9","35.5","21.6","28.5","23","4","2.8","073803"
"92",91,"WK073804","Aalburg","Wijk","WK073804","1",735,130,15,0,0,0,"127","231","30.7","23.8","35.6","20.1","22.9","27.6","2.9","2.5","073804"
"95",94,"WK073805","Aalburg","Wijk","WK073805","1",395,80,25,0,0,0,"74","292","31","24.9","39.6","20.8","24.7","25.9","3.2","1.9","073805"
"98",97,"WK073806","Aalburg","Wijk","WK073806","1",415,70,5,5,0,0,"52","306","32.5","25.3","37.7","23.5","22.5","31.3","2.5","1.3","073806"
"102",101,"WK035800","Aalsmeer","Wijk","WK035800","1",12235,3105,1460,850,155,50,"1741","283","35.3","29","37.5","21.8","34.3","25.7","4.3","4.5","035800"
"107",106,"WK035801","Aalsmeer","Wijk","WK035801","1",9210,1330,875,695,170,30,"2117","271","35.5","27.7","32.6","24","26.9","29.4","3.4","3.3","035801"
"109",108,"WK035802","Aalsmeer","Wijk","WK035802","1",9920,1280,1160,825,115,35,"1134","335","40.1","30.1","34.1","29.9","24.2","40.9","3.8","3.5","035802"
"115",114,"WK019701","Aalten","Wijk","WK019701","1",4140,755,180,150,0,0,"61",".","28.8","23.3","42.6","16.4","24.2","30.1","4","4.3","019701"
"128",127,"WK019702","Aalten","Wijk","WK019702","1",1925,365,100,25,0,5,"195",".","28.2","23","39.9","14.2","33","18.5","4.4","3.4","019702"
"133",132,"WK019703","Aalten","Wijk","WK019703","1",12785,2735,855,595,10,305,"2502",".","27.5","22.1","41.3","13.5","35.5","14.6","4","4.2","019703"
"141",140,"WK019704","Aalten","Wijk","WK019704","1",8190,1865,1045,195,5,20,"598",".","27.2","22.1","43","12.5","37.3","15.3","5.7","5","019704"
"149",148,"WK005900","Achtkarspelen","Wijk","WK005900","1",11955,2195,315,255,5,0,"258","159","26.2","20","45.7","12.2","39.6","13.7","8.1","7.1","005900"
"160",159,"WK005901","Achtkarspelen","Wijk","WK005901","1",3270,485,55,35,0,0,"163","168","26.9","20.2","42.6","13.1","36.7","15.6","4.9","4.7","005901"
"167",166,"WK005902","Achtkarspelen","Wijk","WK005902","1",12665,2520,250,240,5,0,"352","168","25.2","19.6","47.1","10.6","41.9","12.8","7","6.7","005902"
"177",176,"WK048201","Alblasserdam","Wijk","WK048201","1",4770,1060,225,195,35,65,"5228","217","32.7","24.9","38.1","22.2","34.4","23.9","4.2","4.2","048201"
"183",182,"WK048202","Alblasserdam","Wijk","WK048202","1",3880,590,280,235,15,75,"4076","189","31.2","23.7","40.6","21","36.1","22.9","7.7","7","048202"
"190",189,"WK048203","Alblasserdam","Wijk","WK048203","1",7520,1160,580,755,85,350,"8652","184","30.5","23.1","40.5","20","34.2","21.1","6.3","5.6","048203"
"198",197,"WK048204","Alblasserdam","Wijk","WK048204","1",3620,1045,255,250,35,65,"6749","201","30.1","23.4","45.6","17.1","40.5","20.7","5","4.7","048204"
"203",202,"WK048205","Alblasserdam","Wijk","WK048205","1",120,5,5,0,0,0,"55",".",".","19.3",".",".",".",".",".",".","048205"
"207",206,"WK048206","Alblasserdam","Wijk","WK048206","1",85,15,5,0,0,0,"27",".",".",".",".",".",".",".",".",".","048206"
"213",212,"WK061301","Albrandswaard","Wijk","WK061301","1",2675,270,230,250,30,25,"1173","281","43.3","34.2","29.4","36.1","16.8","45.3","2.7","2.1","061301"
"218",217,"WK061302","Albrandswaard","Wijk","WK061302","1",1890,310,155,140,5,5,"1173","234","40.9","33.2","30.7","30.7","29.4","27.2","6.4","5.4","061302"
"221",220,"WK061303","Albrandswaard","Wijk","WK061303","1",6970,1300,465,695,45,50,"1700","237","37","29.7","34.7","27.5","28.5","31.9","4.5","4","061303"
"228",227,"WK061304","Albrandswaard","Wijk","WK061304","1",5930,1520,475,460,40,55,"2477","245","39.2","31.3","32.9","28.9","29.9","27.2","3.5","3.8","061304"
"236",235,"WK061305","Albrandswaard","Wijk","WK061305","1",250,40,10,10,0,0,"26","482","51.4","42.4","33.3","28",".",".",".",".","061305"
"239",238,"WK061306","Albrandswaard","Wijk","WK061306","1",7380,685,580,1475,130,320,"7729","268","42.4","29.7","29.4","36","21.5","40.8","4.4","4.3","061306"
"244",243,"WK061307","Albrandswaard","Wijk","WK061307","1",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".","061307"
"247",246,"WK036101","Alkmaar","Wijk","WK036101","1",14315,3435,1210,1495,280,440,"5610","212","33.6","27.5","37.6","21.7","40.7","21.8","7.7","7.5","036101"
"258",257,"WK036102","Alkmaar","Wijk","WK036102","1",13515,2705,1170,1375,165,305,"2308","210","32.1","25.9","37.1","21.1","35.3","22.1","6.8","6.1","036102"
"268",267,"WK036103","Alkmaar","Wijk","WK036103","1",7775,1140,680,2840,685,1105,"1358","141","24.9","20","47.2","10.7","55.2","7.4","15.2","12.8","036103"
"275",274,"WK036104","Alkmaar","Wijk","WK036104","1",12590,2505,1345,2100,315,355,"2080","182","32.1","26.4","35.8","20.6","42.3","17.5","8.3","6.7","036104"
"282",281,"WK036105","Alkmaar","Wijk","WK036105","3",7640,1715,855,1090,160,135,"7029","157","28.4","23.2","39","16","41.9","12.6","6.9","6.4","036105"
"287",286,"WK036106","Alkmaar","Wijk","WK036106","1",15950,2510,1670,2120,205,120,"5801","153","29","23.2","37.5","16.3","41","12.8","9.2","8.2","036106"
"293",292,"WK036107","Alkmaar","Wijk","WK036107","1",13415,1855,1310,1300,80,60,"4110","179","30.3","24.3","37.8","19.3","34.9","20.5","6.8","6","036107"
"300",299,"WK036108","Alkmaar","Wijk","WK036108","1",8050,1160,1035,525,40,55,"6719","189","35.7","31.2","29.6","24.6","44.4","15.2","7.6","6.2","036108"
"305",304,"WK036109","Alkmaar","Wijk","WK036109","1",5455,970,315,160,5,10,"89","247","34.8","27.5","36.1","23.6","27.5","31.1","4.4","4.1","036109"
"313",312,"WK036110","Alkmaar","Wijk","WK036110","1",6440,1460,355,205,5,10,"323","247","33.4","27.5","37.4","22.3","26.9","29.2","3.4","3.2","036110"
"321",320,"WK036111","Alkmaar","Wijk","WK036111","3",3210,255,325,480,40,85,"4166","254","39.1","29.5","31.3","32.2","22","33.9","5","3.6","036111"
"325",324,"WK014110","Almelo","Wijk","WK014110","1",5280,1495,675,485,30,185,"4209","133","25.5","22.5","47.5","11.3","63.7","6.3","13.1","11.5","014110"
"330",329,"WK014111","Almelo","Wijk","WK014111","1",7015,1190,700,1080,70,660,"2141","119","23.2","18.3","51.7","8.4","55.3","7.1","14.3","12.3","014111"
"339",338,"WK014112","Almelo","Wijk","WK014112","1",5410,1210,440,385,10,85,"1086","173","30.7","24.8","39","18.4","36.3","18.4","5.1","4.8","014112"
"344",343,"WK014113","Almelo","Wijk","WK014113","1",5870,1100,555,545,25,185,"1275","182","28.9","23","46.6","16.1","48.5","17.7","13.4","11.5","014113"
"350",349,"WK014114","Almelo","Wijk","WK014114","1",6655,1550,725,2255,135,1360,"1153","128","23.3","18.5","52.5","8.6","53.6","8.6","14.6","14","014114"
"359",358,"WK014115","Almelo","Wijk","WK014115","1",3215,455,365,1010,35,710,"5404","95","19.2","14.7","63.1","3.5","64.7","3.5","21.2","20.1","014115"
"364",363,"WK014116","Almelo","Wijk","WK014116","1",7130,995,855,1955,145,1380,"5309","102","21.7","16.8","53","5.3","58.4","4.4","17.1","13.6","014116"
"371",370,"WK014117","Almelo","Wijk","WK014117","1",3620,725,285,200,10,95,"401","216","35","27.2","38.8","23","34.1","24.5","5","5.6","014117"
"377",376,"WK014118","Almelo","Wijk","WK014118","1",11005,2585,1175,1475,20,455,"3394","153","25.9","20.9","46.2","12.6","38.8","13","7.3","7.4","014118"
"385",384,"WK014119","Almelo","Wijk","WK014119","1",13925,1675,1310,1580,50,685,"1781","183","31.3","24.3","39","20.1","26.1","23.7","6.1","5.3","014119"
"397",396,"WK014120","Almelo","Wijk","WK014120","1",1515,330,85,10,0,0,"177","234","30.7","24.8","41.6","19.3","25.5","25","4.3","2.9","014120"
"402",401,"WK014121","Almelo","Wijk","WK014121","1",1820,340,50,5,0,0,"108","266","32.5","25.8","36","20.7","27","34","2.5","3.5","014121"
"406",405,"WK003401","Almere","Wijk","WK003401","1",22475,4140,2340,4390,770,190,"1081","184","30.7","24.3","41.3","17.1","43.4","15.7","11.2","9.9","003401"
"420",419,"WK003402","Almere","Wijk","WK003402","1",108605,11185,11380,34505,4710,2145,"3050","185","31.8","24.6","37.6","21.2","34.2","22","8.1","7.1","003402"
"443",442,"WK003403","Almere","Wijk","WK003403","1",56120,4800,5770,17120,1925,980,"2107","182","31.6","23.9","37.3","21.2","33","21.8","8.3","7","003403"
"461",460,"WK003404","Almere","Wijk","WK003404","1",11625,395,1130,4925,455,240,"1386","204","37.3","26.7","24.6","27.4","29.1","22","5.4","4","003404"
"471",470,"WK003405","Almere","Wijk","WK003405","1",2085,315,215,190,10,10,"72","347","51.2","40.8","26.4","38.9","16.3","45","4.6","3.8","003405"
"476",475,"WK003406","Almere","Wijk","WK003406","1",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".","003406"
"479",478,"WK048401","Alphen aan den Rijn","Wijk","WK048401","1",9365,1640,935,1375,340,150,"1524","210","33.6","26.9","35.2","22.2","31","23.7","6","5","048401"
"491",490,"WK048402","Alphen aan den Rijn","Wijk","WK048402","1",13610,2755,1450,2575,770,395,"3148","170","30.1","24.1","37.8","17.9","38.7","15.8","7.6","7","048402"
"503",502,"WK048403","Alphen aan den Rijn","Wijk","WK048403","1",10090,1885,1045,1775,525,120,"3593","184","31.7","25","36.2","20.3","33.1","18.9","7.9","6.3","048403"
"511",510,"WK048404","Alphen aan den Rijn","Wijk","WK048404","1",4650,990,640,585,110,55,"1837","171","29","24.5","39.2","14.1","49.9","9.8","8.7","7.4","048404"
"517",516,"WK048405","Alphen aan den Rijn","Wijk","WK048405","1",7555,1395,675,620,115,75,"6080","213","33.3","26.6","35.6","22.2","33.4","21.5","4.8","4.4","048405"
"524",523,"WK048406","Alphen aan den Rijn","Wijk","WK048406","1",8530,1455,830,545,105,30,"3581","212","34.5","28.3","32.8","23.6","30.6","23.2","4.1","3.2","048406"
"530",529,"WK048407","Alphen aan den Rijn","Wijk","WK048407","1",825,160,45,15,0,0,"114","325","34.9","28.3","37.2","24.6","25.6","32.8","6.2","6.8","048407"
"533",532,"WK048408","Alphen aan den Rijn","Wijk","WK048408","1",16685,1945,1470,1580,285,185,"3813","261","39.8","30.5","31.4","31.5","20.4","38.2","3.3","2.6","048408"
"547",546,"WK048409","Alphen aan den Rijn","Wijk","WK048409","1",50,15,0,0,0,0,"17",".",".",".",".",".",".",".",".",".","048409"
"549",548,"WK048431","Alphen aan den Rijn","Wijk","WK048431","1",3540,600,225,120,15,5,"282","244","33.8","25.8","36.7","24.4","24.1","29.7","3.7","3.6","048431"
"554",553,"WK048445","Alphen aan den Rijn","Wijk","WK048445","1",1175,205,50,30,0,0,"61","333","36.8","30","35.6","24.8","31","33.9","4.5","4.5","048445"
"559",558,"WK048470","Alphen aan den Rijn","Wijk","WK048470","1",15535,2980,1215,1375,805,25,"1044","223","32.5","26","39.2","20.6","34.1","24.4","5.4","4.9","048470"
"575",574,"WK048471","Alphen aan den Rijn","Wijk","WK048471","1",1920,305,145,95,20,10,"1248","253","34.2","28","35","20.9","31.5","29","2.7","2.4","048471"
"579",578,"WK048491","Alphen aan den Rijn","Wijk","WK048491","1",5815,1260,280,200,25,5,"205","276","35.2","28.3","36.7","23.7","27.6","30.5","2.7","3.3","048491"
"585",584,"WK048494","Alphen aan den Rijn","Wijk","WK048494","1",5410,945,370,270,30,5,"984","229","32.3","25.9","35.1","20.9","30.6","23.2","4","3.6","048494"
"590",589,"WK048496","Alphen aan den Rijn","Wijk","WK048496","1",4120,1095,225,165,30,10,"407","259","33.8","27.6","37.2","22.9","29.4","28.1","3.6","2.9","048496"
"596",595,"WK172300","Alphen-Chaam","Wijk","WK172300","1",4180,790,510,130,15,5,"105","276","31.4","25.7","37","19.8","28","29","4.7","4.3","172300"
"600",599,"WK172301","Alphen-Chaam","Wijk","WK172301","1",4145,1020,435,90,0,5,"139","286","32.4","27","40","20.1","28.4","28.6","4.3","3.7","172301"
"604",603,"WK172302","Alphen-Chaam","Wijk","WK172302","1",1265,235,170,10,0,0,"119","330","37.3","30","32.8","24","21.5","34.5","2.2","1.8","172302"
"608",607,"WK172308","Alphen-Chaam","Wijk","WK172308","1",430,105,50,5,0,0,"43","474","46.6","38.1","41.5","27.4","22.8","44.3","6.1","5.5","172308"
"610",609,"WK172309","Alphen-Chaam","Wijk","WK172309","1",45,5,5,0,0,0,"15",".",".",".",".",".",".",".",".",".","172309"
"613",612,"WK006000","Ameland","Wijk","WK006000","1",3630,815,185,60,5,0,"62","226","27.4","22.5","41.3","13.4","37.7","18.4","4.7","4.5","006000"
"622",621,"WK030701","Amersfoort","Wijk","WK030701","1",5580,865,635,530,75,70,"7829","217","34.8","31.4","32.4","23.3","52.4","14.4","11.9","10.1","030701"
"632",631,"WK030702","Amersfoort","Wijk","WK030702","1",1355,260,145,145,20,20,"4586","216","38","33.5","35.6","26.6","56.5","17.6","10.8","9.1","030702"
"638",637,"WK030703","Amersfoort","Wijk","WK030703","1",11935,1565,990,1240,240,185,"7700","185","29.8","23.8","37.7","17.9","46.1","14.6","9.6","8.1","030703"
"647",646,"WK030704","Amersfoort","Wijk","WK030704","1",275,20,35,25,0,5,"149","118","31.1","26.8","43.5","19","50.7","15.5","15.3","9.2","030704"
"652",651,"WK030705","Amersfoort","Wijk","WK030705","1",1260,480,200,240,15,10,"182","314","40.9","36.5","29.1","23.3","49.3","19","10.3","9.4","030705"
"656",655,"WK030706","Amersfoort","Wijk","WK030706","1",2895,510,270,900,320,250,"5417","208","29.5","23.7","41.4","17.5","46.6","14.7","11.4","9.8","030706"
"660",659,"WK030707","Amersfoort","Wijk","WK030707","1",6215,815,480,2385,600,995,"8051","172","27.5","21.2","43.7","15.1","50.9","12.8","13.8","12.1","030707"
"664",663,"WK030708","Amersfoort","Wijk","WK030708","1",4545,1325,435,720,145,175,"5611","193","29.1","24.1","42","16.3","47.7","15","8.7","8.7","030708"
"668",667,"WK030709","Amersfoort","Wijk","WK030709","1",7330,1010,675,890,170,210,"7824","202","31.9","25.5","33.3","20.6","34.4","18.3","6.8","5.8","030709"
"673",672,"WK030710","Amersfoort","Wijk","WK030710","1",7290,1275,585,2990,730,1005,"7060","153","25.5","19.9","45.7","11.2","51.3","7.6","12.8","12.1","030710"
"679",678,"WK030711","Amersfoort","Wijk","WK030711","1",3140,880,285,550,85,210,"3553","220","30.6","24.6","38.4","18.3","30.9","20.2","3.7","4","030711"
"682",681,"WK030712","Amersfoort","Wijk","WK030712","1",240,50,5,5,0,0,"53","446","30.7","24.6","50.3","19",".",".",".",".","030712"
"685",684,"WK030713","Amersfoort","Wijk","WK030713","1",4045,945,340,1540,450,550,"5963","164","27","21.5","42.9","13.8","44.4","10.3","10.5","9.3","030713"
"689",688,"WK030714","Amersfoort","Wijk","WK030714","1",7060,1205,605,1530,520,320,"4933","183","30.7","24.8","37.7","18.8","47.9","15.2","9.5","9.2","030714"
"694",693,"WK030715","Amersfoort","Wijk","WK030715","1",6075,960,575,645,205,140,"5279","271","39.1","30.6","32","29.3","37.3","29.9","6.1","5.4","030715"
"699",698,"WK030716","Amersfoort","Wijk","WK030716","1",5685,1020,500,480,115,105,"2807","280","38.8","30.2","32.7","27.8","35.5","28.4","7.5","6.2","030716"
"704",703,"WK030717","Amersfoort","Wijk","WK030717","1",6040,930,585,465,60,75,"3626","286","40.5","32.2","34.3","29.7","39.1","30.1","9.3","7.4","030717"
"713",712,"WK030718","Amersfoort","Wijk","WK030718","1",3410,770,375,105,5,5,"2337","572","68.5","52.1","28","46.5","13.4","56.4","2.4","2.1","030718"
"719",718,"WK030719","Amersfoort","Wijk","WK030719","1",9950,2030,675,425,50,60,"4796","262","34","27.8","34.9","24.3","22.8","29.4","2.1","2.1","030719"
"727",726,"WK030720","Amersfoort","Wijk","WK030720","1",8310,1070,745,965,175,225,"6176","223","33.3","26.4","34.7","24.6","27.2","28.3","4.9","4.9","030720"
"735",734,"WK030721","Amersfoort","Wijk","WK030721","1",11120,1280,1065,1255,150,240,"7342","232","37.2","29.1","32.6","28.3","27.6","29.8","5.5","5","030721"
"745",744,"WK030722","Amersfoort","Wijk","WK030722","1",140,15,10,0,0,0,"238",".","40.3","33","37.3","31.4",".",".",".",".","030722"
"747",746,"WK030723","Amersfoort","Wijk","WK030723","1",55,15,5,0,0,0,"62",".",".",".",".",".",".",".",".",".","030723"
"750",749,"WK030724","Amersfoort","Wijk","WK030724","1",15015,1090,1290,1865,250,620,"7592","238","38.5","28.7","31.8","30.5","20.5","35.9","4.6","3.7","030724"
"757",756,"WK030725","Amersfoort","Wijk","WK030725","1",215,35,15,20,5,5,"48","254","28.5","25.3","40.6","12.3","43.4","20.8","9.9","5.9","030725"
"767",766,"WK030726","Amersfoort","Wijk","WK030726","1",4625,465,305,430,75,100,"4283","296","40.7","29","28.6","32","21.6","38.5","2.8","2.9","030726"
"772",771,"WK030727","Amersfoort","Wijk","WK030727","1",500,90,20,5,0,0,"41","535","42.1","34.1","41.3","24.8","23.6","46.2","3.3","2.2","030727"
"776",775,"WK030728","Amersfoort","Wijk","WK030728","1",6940,225,580,1095,175,265,"3340","294","41.6","28.4","30.5","35","15.3","44.2","3.7","2.8","030728"
"784",783,"WK030729","Amersfoort","Wijk","WK030729","1",3635,160,275,535,85,115,"6723","281","42.5","29.1","27","34.7","16","41.1","3.6","2.2","030729"
"788",787,"WK030730","Amersfoort","Wijk","WK030730","1",2955,65,260,415,80,75,"6262","242","40.8","27","23.4","34.6","17.3","32.6","6","4.1","030730"
"791",790,"WK030731","Amersfoort","Wijk","WK030731","1",6430,380,560,1030,160,190,"1611","250","41.1","28.5","27.5","34","26.5","32.8","6.7","5.2","030731"
"799",798,"WK036201","Amstelveen","Wijk","WK036201","3",5800,940,1230,1045,20,35,"7339","370","51.1","37.1","27.9","39.4","28.1","36.5","3.5","3","036201"
"802",801,"WK036202","Amstelveen","Wijk","WK036202","3",3105,665,500,370,25,15,"3331","403","53.1","40.7","35.9","31.4","38.4","32.8","6.2","6","036202"
"805",804,"WK036203","Amstelveen","Wijk","WK036203","3",11175,2120,2335,2160,95,80,"6822","393","55.5","39.4","28.3","39.1","29.2","38","4.6","4.5","036203"
"810",809,"WK036204","Amstelveen","Wijk","WK036204","3",3055,570,840,1040,15,35,"5537","287","55.1","40.8","23","39.9","29.5","28.2","3.5","3.2","036204"
"812",811,"WK036205","Amstelveen","Wijk","WK036205","3",3545,10,800,875,30,55,"7931","164","12.8","12","79.3","2.3","95.5","0.5","15.9","9.9","036205"
"815",814,"WK036206","Amstelveen","Wijk","WK036206","3",9765,2235,1885,2565,240,125,"6011","271","38.6","30.4","35.5","25.9","40.4","21.5","7.6","7.1","036206"
"820",819,"WK036207","Amstelveen","Wijk","WK036207","3",810,170,120,40,5,0,"204","660","83.5","61.4","34.7","38.8","21.8","49.4","3.2","3.9","036207"
"823",822,"WK036208","Amstelveen","Wijk","WK036208","3",11785,2645,2055,3000,285,100,"4031","256","38","30","34","25.5","42.7","21.7","7.6","7.2","036208"
"830",829,"WK036209","Amstelveen","Wijk","WK036209","3",7580,2385,1440,2125,175,85,"5778","217","34.9","28.4","36.7","20.9","51.9","14","8.6","8.1","036209"
"836",835,"WK036210","Amstelveen","Wijk","WK036210","3",13165,2680,2435,2780,220,115,"6543","270","39.1","31","31.1","28.6","32.6","26","4.7","4.5","036210"
"842",841,"WK036211","Amstelveen","Wijk","WK036211","3",10615,1865,1900,1935,105,95,"4508","293","41.4","31.9","32.3","30.5","31.7","31.3","4.2","4.3","036211"
"849",848,"WK036212","Amstelveen","Wijk","WK036212","3",7505,400,1235,1745,150,120,"4314","369","50.2","34.7","26.4","41.2","17.3","47","4","3.2","036212"
"854",853,"WK036213","Amstelveen","Wijk","WK036213","3",1235,280,135,85,15,0,"86","354","46.8","37.3","38.4","29.1","31.2","36.5","3.4","3.6","036213"
"857",856,"WK036214","Amstelveen","Wijk","WK036214","3",120,15,25,5,0,0,"19",".",".","35.2",".",".",".",".",".",".","036214"
